farmer_id,username,full_name,gender,date_of_birth,age,category,aadhaar_masked,mobile,state,district,taluka,village,pincode,khasra_number,land_holding_ha,land_type,soil_type,irrigation_source,primary_crop,secondary_crop,tertiary_crop,has_kcc,kcc_bank,pm_kisan_beneficiary,mgnrega_linked,registration_date,status,gat_number,Verified_GAT,pu_id,bhudharna_prakar,pot_kharab_area_ha,aakarnee_rs,satbara_last_date,kisan_id,plot_centroid_lat,plot_centroid_lon,plot_boundary_radius_m,crop_variety,sowing_date,irrigated_status,pmfby_enrolled,pmfby_sum_insured_rs,pmfby_premium_paid_rs,bank_account_masked,ifsc_code,ndvi_baseline,ndvi_current,ndvi_drop_pct,hist_avg_yield_qtl_per_ha,last_survey_date,last_damage_score_pct,last_claim_status
MH-AS-NAN-10000001,mamta.kulkarni64,Mamta Kulkarni,Female,1961-10-14,64,ST,XXXX-XXXX-8071,7681573780,Maharashtra,Nanded,Hadgaon,Hadgaon_Village_48,418716,775/30,10.12,Canal-irrigated,Medium Black,Tank,Paddy,Chana Dal,,No,State Bank of India,No,Yes,2022-10-16,Active,775/30,Verified,33746317213,Bhogtavadar Varg-1,0.0,18.29,07/06/2024,KID7030039913,19.276123,77.311463,179.5,Jyoti,2024-06-27,Rain-fed,No,0,0,XXXX2567XX,MAHB8427702,0.793,0.743,6.3,40.9,2024-12-25,29.3,Approved
MH-AS-LAT-10000001,sita.jadhav57,Sita Jadhav,Female,1958-03-24,68,NT,XXXX-XXXX-9253,8980262152,Maharashtra,Latur,Udgir,Udgir_Village_60,435971,13/42,8.99,Rain-fed,Alluvial,Drip,Sunflower,Maize,,No,Maharashtra Gramin Bank,Yes,Yes,2025-10-20,Active,13/42,Verified,39697354961,Inam,0.0,16.11,07/02/2025,KID1767950141,18.669196,76.185557,169.2,Local Variety,2024-11-03,Rain-fed,Yes,255484,5109,XXXX4993XX,MAHB6239213,0.694,0.597,14.0,24.0,,,
MH-AS-DHU-10000001,ratan.wagh17,Ratan Wagh,Male,1975-02-08,51,SC,XXXX-XXXX-8608,7418750057,Maharashtra,Dhule,Sakri,Sakri_Village_27,404487,27/21,3.96,Semi-irrigated,Black Cotton Soil,Well,Watermelon,Chilli,Linseed,No,Bank of Baroda,No,No,2024-10-11,Active,27/21,Verified,32181241943,Bhogtavadar Varg-2,0.0,6.38,13/08/2024,KID2067004398,21.15064,74.827394,112.3,Local Variety,2024-10-16,Rain-fed,Yes,109858,2197,XXXX6736XX,MAHB1674346,0.587,0.444,24.4,26.3,,,
MH-AS-PUN-10000001,sunita.pawar54,Sunita Pawar,Female,1955-11-21,70,SC,XXXX-XXXX-6904,9183555426,Maharashtra,Pune,Purandar,Purandar_Village_29,418161,269/41,8.71,Canal-irrigated,Sandy Loam,Rain-fed,Groundnut,Sugarcane,Turmeric,Yes,Maharashtra Gramin Bank,Yes,Yes,2025-09-06,Active,269/41,Verified,31958682846,Bhogtavadar Varg-1,0.0,15.12,18/01/2024,KID4263648760,18.358498,73.494057,166.5,TAG-24,2024-06-28,Rain-fed,No,0,0,XXXX7582XX,MAHB2016214,0.602,0.419,30.4,17.5,2024-11-28,69.3,Disbursed
MH-AS-PUN-10000002,popat.chavan16,Popat Chavan,Male,1983-07-06,42,OBC,XXXX-XXXX-6644,8964685163,Maharashtra,Pune,Maval,Maval_Village_46,416487,183/50,2.41,Irrigated,Black Cotton Soil,Rain-fed,Sunflower,Cowpea,,Yes,Maharashtra Gramin Bank,No,Yes,2025-09-21,Active,183/50,Verified,34163119785,Bhogtavadar Varg-1,0.0,4.22,23/10/2024,KID3313394522,18.912902,73.462161,87.6,Local Variety,2024-10-20,Irrigated,Yes,59943,1198,XXXX1095XX,MAHB1877044,0.732,0.63,13.9,24.7,,,
MH-AS-NAG-10000001,arjun.more33,Arjun More,Male,1996-01-25,30,SC,XXXX-XXXX-4365,8578325918,Maharashtra,Nagpur,Hingna,Hingna_Village_6,436962,68/1,11.47,Semi-irrigated,Black Cotton Soil,River Lift,Teak (Plantation),Onion,Jowar,Yes,Canara Bank,No,Yes,2022-07-14,Active,68/1,Verified,39963334018,Bhogtavadar Varg-1,0.33,20.18,05/07/2024,KID3101419947,21.361634,79.285614,191.1,Local Variety,2024-10-30,Rain-fed,No,0,0,XXXX2786XX,MAHB5770366,0.611,0.561,8.2,25.9,2025-04-10,53.7,Disbursed
MH-AS-PUN-10000003,geeta.chavan36,Geeta Chavan,Female,1978-11-25,47,OBC,XXXX-XXXX-5698,8657253152,Maharashtra,Pune,Haveli,Haveli_Village_54,402861,810/25,2.54,Irrigated,Black Cotton Soil,Rain-fed,Wheat,Turmeric,Cowpea,Yes,Canara Bank,Yes,Yes,2023-08-05,Active,810/25,Verified,32812140441,Bhogtavadar Varg-1,0.0,4.65,09/01/2025,KID3930751749,18.422351,73.852018,89.9,HD-2781,2024-10-21,Irrigated,Yes,84478,1689,XXXX5753XX,MAHB7821252,0.597,0.456,23.6,33.6,,,
MH-AS-PUN-10000004,baburao.more44,Baburao More,Male,1974-05-29,51,SC,XXXX-XXXX-5581,7515091856,Maharashtra,Pune,Shirur,Shirur_Village_15,414530,986/13,5.53,Well-irrigated,Sandy Loam,Borewell,Groundnut,Ginger,,No,Maharashtra Gramin Bank,Yes,No,2025-08-12,Active,986/13,Verified,31127978094,Shasakiya,0.0,10.03,08/03/2024,KID5948990031,18.863559,73.773063,132.7,TAG-24,2024-07-01,Rain-fed,No,0,0,XXXX4733XX,MAHB2502868,0.715,0.58,18.9,16.2,2024-10-10,62.5,Approved
MH-AS-PUN-10000005,rekha.mane59,Rekha Mane,Female,1970-04-14,56,NT,XXXX-XXXX-2103,7389698203,Maharashtra,Pune,Mulshi,Mulshi_Village_60,430476,386/5,1.36,Irrigated,Red Laterite,Well,Pomegranate,Cowpea,Cabbage,Yes,Union Bank,No,Yes,2024-03-22,Active,386/5,Verified,31939042955,Bhogtavadar Varg-1,0.0,2.51,16/02/2024,KID3837117532,18.899565,73.876232,65.8,Bhagwa,2024-10-29,Irrigated,No,0,0,XXXX4906XX,MAHB8864273,0.808,0.681,15.7,25.3,,,
MH-AS-NAS-10000001,radha.mahale98,Radha Mahale,Female,1976-11-27,49,OBC,XXXX-XXXX-5199,9214648129,Maharashtra,Nashik,Igatpuri,Igatpuri_Village_44,432852,169/40,9.74,Irrigated,Black Cotton Soil,Drip,Watermelon,Sweet Corn,,No,Bank of Baroda,No,No,2024-09-22,Active,169/40,Verified,39703905715,Bhogtavadar Varg-2,0.0,18.56,31/05/2024,KID2455163851,19.68079,74.040447,176.1,Local Variety,2024-10-25,Irrigated,No,0,0,XXXX7448XX,MAHB3255165,0.714,0.56,21.6,23.1,2024-10-15,40.5,Pending Review
